date,Axis Bluechip,ICICI Bluechip,Kotak Bluechip,Nippon Large Cap,SBI Bluechip
2014-03-26,26.7624,19.1321,33.998,16.0209,104.3934
2014-03-27,26.7694,19.1714,34.1115,16.1047,104.4245
2014-03-28,26.7777,19.3006,34.2524,16.295,104.6408
2014-03-31,26.805,19.4192,34.3716,16.4337,104.7403
2014-04-01,26.8131,19.2809,34.4386,16.3998,
2014-04-02,26.8201,19.3511,34.4663,16.5762,104.6459
2014-04-03,26.8272,19.3331,34.4587,16.5041,104.6613
2014-04-04,26.8337,19.2274,34.5208,16.4255,104.6173
2014-04-06,26.8477,,,,
2014-04-07,26.8542,19.227,34.5081,16.4194,104.6708
2014-04-08,26.8612,,,,
2014-04-09,26.8678,19.4787,34.6294,16.636,104.6926
2014-04-10,26.8747,19.5023,34.6955,16.6791,104.7079
2014-04-11,26.8814,19.4665,34.8263,16.5678,104.7961
2014-04-14,26.9019,,,,
2014-04-15,26.9086,19.4304,34.8415,16.4793,104.8973
2014-04-16,26.9154,19.2266,34.8088,16.2824,104.979
2014-04-17,26.9221,19.4383,35.0202,16.5079,104.9728
2014-04-20,26.9423,,,,
2014-04-21,26.949,19.5891,35.2201,16.6546,105.1503
2014-04-22,26.9557,19.6741,35.2249,16.6901,105.3231
2014-04-23,26.9624,19.8523,35.277,16.755,105.3895
2014-04-24,26.9691,,,,
2014-04-25,26.9753,19.6863,35.3158,16.6603,105.4519
2014-04-27,26.9891,,,,
2014-04-28,26.9958,19.7565,35.4212,16.643,105.5157
2014-04-29,27.0024,19.6588,35.3096,16.4949,105.6008
2014-04-30,27.009,19.5769,35.1457,16.4493,105.6958
2014-05-01,27.0157,,,,
2014-05-02,27.0224,19.6001,35.0865,16.4055,105.7909
2014-05-04,27.0356,,,,
2014-05-05,27.0422,19.615,35.0838,16.4094,105.9859
2014-05-06,27.0488,19.6623,35.0292,16.4314,106.009
2014-05-07,27.0553,19.6396,34.9808,16.3084,106.0297
2014-05-08,27.0619,19.706,34.9568,16.3463,106.0486
2014-05-09,27.0686,20.0994,35.1143,16.7704,106.1508
2014-05-11,27.0815,,,,
2014-05-12,27.0881,20.4204,35.0663,17.0811,106.283
2014-05-13,27.0947,20.553,35.1825,17.3691,106.2773
2014-05-14,27.1012,20.4753,,17.3858,
2014-05-15,27.1077,20.4944,35.1011,17.2971,106.371
2014-05-16,27.1137,20.6892,35.2264,17.7003,106.578
2014-05-18,27.1274,,,,
2014-05-19,27.1338,20.9973,35.3626,18.0749,106.5839
2014-05-20,27.1406,21.1322,35.5816,18.2096,106.5899
2014-05-21,27.1474,21.2438,35.7331,18.284,106.6686
2014-05-22,27.154,21.4746,35.9131,18.4562,106.7537
2014-05-23,27.1604,21.6334,35.962,18.7953,106.9316
2014-05-25,27.1733,,,,
2014-05-26,27.1798,21.5244,35.7583,18.7217,106.9784
2014-05-27,27.1863,21.5816,35.6921,18.6606,107.0365
2014-05-28,27.1928,21.5662,35.8232,18.7759,107.0496
2014-05-29,27.1994,21.443,35.7832,18.5928,107.1021
2014-05-30,27.206,21.5867,35.808,18.4698,107.1905
2014-06-01,27.2189,,,,
2014-06-02,27.2252,21.9387,36.0403,18.8857,107.236
2014-06-03,27.2319,22.1067,36.1302,18.9956,107.4231
2014-06-04,27.2385,22.2,36.2579,19.0685,107.5222
2014-06-05,27.2449,22.3183,36.399,19.3489,107.6529
2014-06-06,27.2514,22.532,36.5904,19.5433,107.7408
2014-06-08,27.2643,,,,
2014-06-09,27.2708,22.7465,36.8518,19.765,107.8767
2014-06-10,27.2773,22.9365,36.9468,19.7891,107.878
2014-06-11,27.2838,22.7528,36.8234,19.7583,107.8761
2014-06-12,27.2902,22.9122,36.7601,19.8035,107.9228
2014-06-13,27.2963,22.6572,36.4924,19.5601,107.976
2014-06-15,27.3094,,,,
2014-06-16,27.3157,22.6519,36.5217,19.5086,107.9536
2014-06-17,27.3222,22.962,36.621,19.7723,107.9426
2014-06-18,27.3286,22.9573,36.65,19.6428,107.9489
2014-06-19,27.3352,22.8413,36.5263,19.5007,107.9016
2014-06-20,27.3415,22.712,36.557,19.4017,107.8502
2014-06-22,27.3542,,,,
2014-06-23,27.3605,22.735,36.4175,19.4828,107.8791
2014-06-24,27.3668,22.868,36.5613,19.6679,107.9086
2014-06-25,27.3732,22.8644,36.6885,19.6921,107.9552
2014-06-26,27.3796,22.8592,36.6332,19.5981,108.0195
2014-06-27,27.386,23.056,36.7123,19.7392,108.0211
2014-06-29,27.3987,,,,
2014-06-30,27.4057,23.4051,36.9414,20.1124,108.1211
2014-07-01,27.4131,23.6544,36.9762,20.2354,
2014-07-02,27.4196,24.016,37.4514,20.4426,108.251
2014-07-03,27.426,24.1979,37.3962,20.5302,108.2774
2014-07-04,27.4323,24.2967,37.496,20.5459,108.3324
2014-07-06,27.4449,,,,
2014-07-07,27.4513,24.275,37.5056,20.5836,108.3898
2014-07-08,27.4576,23.7186,37.1313,20.0262,108.3878
2014-07-09,27.4639,23.4313,36.9564,19.7643,108.4151
2014-07-10,27.4701,23.5146,37.0771,19.7887,108.4249
2014-07-11,27.4762,23.2346,36.7241,19.4787,108.1137
2014-07-13,27.4888,,,,
2014-07-14,27.495,23.2051,36.7263,19.42,107.9854
2014-07-15,27.5014,23.6,37.0449,19.7704,108.0604
2014-07-16,27.5077,23.901,37.5456,20.0502,108.1362
2014-07-17,27.5141,24.2263,37.6555,20.13,108.2175
2014-07-18,27.5205,24.2664,37.6211,20.1216,108.2555
2014-07-20,27.533,,,,
2014-07-21,27.5394,24.3276,37.6895,20.1456,108.3794
2014-07-22,27.5456,24.4144,37.6725,20.1828,108.4712
2014-07-23,27.5517,24.3382,37.5776,20.2631,108.5746
2014-07-24,27.5579,24.3907,37.3938,20.3446,108.6962
2014-07-25,27.5643,24.4078,37.3283,20.1615,108.7179
2014-07-27,27.5769,,,,
2014-07-28,27.5832,24.379,37.2808,20.0988,108.7696
2014-07-29,27.5895,,,,
